Time,Resistance
7.775e-06,8.539908
0.3330337381,8.513319
0.6660289123,8.508349
0.9990271965,8.506242
1.3320208158,8.50537
1.6650635728,8.504824
1.9980444411,8.504239
2.3310812891,8.504005
2.6640842383,8.503562
2.9970778576,8.505084
3.3301255906,8.503757
3.6631160998,8.503497
3.9961019441,8.503666
4.3291397251,8.503016
4.6621476503,8.503016
4.9951254086,8.503328
5.3281846486,8.503302
5.6611602299,8.503523
5.9941945899,8.503094
6.3271925632,8.503523
6.6601942684,8.503822
6.9931860216,8.504889
7.3262175827,8.503458
7.6592167999,8.503471
7.9922269021,8.503901
8.3252450902,8.503575
8.6582527044,8.503406
8.9912394816,8.503497
9.3242669997,8.503757
9.6572708819,8.503601
